stock_id,stock_name
00941,中信上游半導體
00943,兆豐電子高息等權
00932,兆豐永續高息等權
00972,野村日本動能高息
009800,中信NASDAQ
009801,中信美國創新科技
020020,元大台股領航N
020028,元大特選電動車N
020029,元大ESG高股息N
020030,統一智慧電動車N
020012,富邦行動通訊N
020031,統一IC設計臺灣N
020034,元大IC設計N
020036,元大金融配息N
020037,元大金融高股息N
020038,元大ESG配息N
020039,元大加權N
1101,台泥
020032,元大綠能N
00917,中信特選金融
020011,統一微波高息20N
020000,富邦特選蘋果N
009802,富邦旗艦50
009803,保德信市值動能50
009804,聯邦台精彩50
009805,新光美國電力基建
009808,華南永昌優選50
009810,保德信全球藍籌
009811,統一美國50
2450,神腦
2436,偉詮電
2451,創見
3563,牧德
3563,牧德
3576,聯合再生
3576,聯合再生
3583,辛耘
3583,辛耘
3588,通嘉
3588,通嘉
3591,艾笛森
3591,艾笛森
3592,瑞鼎
3592,瑞鼎
3593,力銘
3593,力銘
3557,嘉威
3528,安馳
3530,晶相光
3530,晶相光
3532,台勝科
3532,台勝科
3533,嘉澤
3533,嘉澤
3535,晶彩科
3535,晶彩科
3543,州巧
3543,州巧
3545,敦泰
3545,敦泰
3550,聯穎
3550,聯穎
3528,安馳
3596,智易
3653,健策
3661,世芯-KY
3661,世芯-KY
3665,貿聯-KY
3665,貿聯-KY
3669,圓展
3669,圓展
3673,TPK-KY
3673,TPK-KY
3679,新至陞
3679,新至陞
3686,達能
3686,達能
3653,健策
3652,精聯
3652,精聯
3605,宏致
3605,宏致
3607,谷崧
3607,谷崧
3617,碩天
3617,碩天
3596,智易
3622,洋華
3645,達邁
